"","x","class","predicted","std.error","conf.low","conf.high"
"158",1977,"Intensive Parents",0.0719339604095773,0.0810481291900975,0.062023832983128,0.0832869216496683
"159",1978,"Intensive Parents",0.0811170264025348,0.0708052246379263,0.0713561619302969,0.0920806942242218
"160",1979,"Intensive Parents",0.0694806738665051,0.0788623941082909,0.0601283625244351,0.080163565223329
"161",1980,"Intensive Parents",0.0847650044895178,0.0723097908279126,0.0743974909561846,0.0964267526198965
"162",1981,"Intensive Parents",0.106717231195139,0.0617838277326507,0.0957110990231495,0.118822691774744
"163",1982,"Intensive Parents",0.106137319072114,0.0625326332467073,0.0950582983805424,0.118338739837494
"164",1983,"Intensive Parents",0.117862516896627,0.0615357574288486,0.105889151325319,0.13099141497317
"165",1984,"Intensive Parents",0.145248318858167,0.0572059511697004,0.131874248011798,0.159729169088909
"166",1985,"Intensive Parents",0.149572300927977,0.0563794076369098,0.136053681283953,0.164178901692318
"167",1986,"Intensive Parents",0.166773174079448,0.0549214167558865,0.152346391296284,0.182272362172027
"168",1987,"Intensive Parents",0.165281812385635,0.0532184150081739,0.151388979209767,0.180178882140157
"169",1988,"Intensive Parents",0.160407061897795,0.0538244840775736,0.146703128815384,0.175128387480839
"170",1989,"Intensive Parents",0.164437000118076,0.0583418817435991,0.149322306564567,0.180756542744074
"171",1990,"Intensive Parents",0.209227868962343,0.0559707116593108,0.191655864287339,0.227956630992998
"172",1991,"Intensive Parents",0.207427836205684,0.056971769909836,0.189668951306942,0.226384965515443
"173",1992,"Intensive Parents",0.21433103732816,0.0555159560625086,0.196577639620939,0.233222356133866
"174",1993,"Intensive Parents",0.227176628840992,0.0540059676280817,0.209130839640865,0.24629464408626
"175",1994,"Intensive Parents",0.260891485093512,0.0527792419090328,0.241442801320407,0.281325782857401
"176",1995,"Intensive Parents",0.261918476586477,0.0525914331210536,0.242485952414349,0.282327889129438
"177",1996,"Intensive Parents",0.244521097892861,0.0559102561360133,0.224848378553808,0.265325889427124
"178",1997,"Intensive Parents",0.235853411030024,0.0584155520107235,0.215845778664336,0.257107552417463
"179",1998,"Intensive Parents",0.257503645167734,0.0579306710489331,0.236398680818542,0.279802384393728
"180",1999,"Intensive Parents",0.220217211110721,0.0644713008116417,0.199286063906522,0.24268047551425
"181",2000,"Intensive Parents",0.228162219329061,0.0675809413846787,0.205678544911588,0.252322949034856
"182",2001,"Intensive Parents",0.231875633376479,0.0664696885180627,0.20948563055058,0.255884080844198
"183",2002,"Intensive Parents",0.218143820810365,0.0671055010318908,0.196543288983264,0.241405026841622
"184",2003,"Intensive Parents",0.259744662922805,0.0603581903444559,0.237651955131201,0.283128405139546
"185",2004,"Intensive Parents",0.246106873011988,0.0600761461169579,0.224918196001885,0.268599916017142
"186",2005,"Intensive Parents",0.259603590094093,0.0592229821070709,0.237922216496969,0.2825282545955
"187",2006,"Intensive Parents",0.235520241753865,0.0639945449777935,0.21368984218798,0.258846663431859
"188",2007,"Intensive Parents",0.259989794321419,0.0627239073922717,0.237043346253078,0.284329721420878
"189",2008,"Intensive Parents",0.268872054557377,0.0649187334461763,0.244605906799845,0.29460666114748
"190",2009,"Intensive Parents",0.258052404667345,0.0663140261455894,0.233959138465463,0.283707905803326
"191",2010,"Intensive Parents",0.241819808192011,0.0654764726264046,0.219075894153542,0.266120292545148
"192",2011,"Intensive Parents",0.275871007947222,0.0632969708461594,0.251788558599701,0.301329190059481
"193",2012,"Intensive Parents",0.261238824276928,0.0664772353464366,0.236885233262568,0.287154013540636
"194",2013,"Intensive Parents",0.24482794426361,0.0692556126013536,0.220607713732538,0.27078343123538
"195",2014,"Intensive Parents",0.267419264684996,0.0709903617475076,0.241056790758189,0.295542095604511
